slug,title,author,published,category,section_label,description,hero_image,hero_image_local,source_url
big-blue-hits-sco-with-patent-counterclaim-31287,Big Blue Hits SCO with Patent Counterclaim,Jay Lyman,"August 7, 2003 9:38 AM PT",Computing,"August 27, 2026 01:43:13 AM","IBM has added to the legal mix in its fight over source-code claims by The SCO Group, filing a counterclaim against the smaller software company. IBM's complaint refutes SCO's arguments about solicitation of Linux licenses and returns the legal favor by claiming that SCO's commercially available software has directly infringed four IBM patents. ""Simply put, SCO's scheme is an attempt to profit from its limited rights to a very old Unix operating system ... by introducing fear, uncertainty and doubt into the marketplace,"" an IBM statement said.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/ibm-linux-sco-2.jpg,images/big-blue-hits-sco-with-patent-counterclaim-31287.jpg,https://www.technewsworld.com/story/big-blue-hits-sco-with-patent-counterclaim-31287.html
billions-of-stolen-browser-cookies-expose-users-to-account-hijacking-180479,Billions of Stolen Browser Cookies Fuel Account Hijacking Risks,John P. Mello Jr.,"August 5, 2026 5:00 AM PT",Cybersecurity,,"Experts warn that stolen browser cookies let attackers bypass passwords and hijack online accounts, making authenticated sessions a prime cyber target.",https://www.technewsworld.com/wp-content/uploads/sites/3/2026/08/login-session.jpg,images/billions-of-stolen-browser-cookies-expose-users-to-account-hijacking-180479.jpg,https://www.technewsworld.com/story/billions-of-stolen-browser-cookies-expose-users-to-account-hijacking-180479.html
blaster-variant-suspect-arrested-31699,Blaster Variant Suspect Arrested,Jay Lyman,"September 29, 2003 9:43 AM PT",Security,,"State and federal law enforcement authorities have announced a second arrest related to a variant of the Blaster computer worm. Meanwhile, security experts are watching and waiting for another virus variant to take advantage of a similar security hole in Microsoft Windows systems. Blaster took advantage of a Remote Procedure Call vulnerability to spread among nearly half a million machines in August, but the arrests of Minnesota's Jeffrey Lee Parson, a Romanian man and now a juvenile in the United States involve variants of the worm that had more limited impact.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/blaster-variant.jpg,images/blaster-variant-suspect-arrested-31699.jpg,https://www.technewsworld.com/story/blaster-variant-suspect-arrested-31699.html
borland-updates-c-tools-31584,Borland Updates C++ Tools,Kirk L. Kroeker,"September 15, 2003 1:37 PM PT",Security,,"After nearly two years in development, Borland has announced two updated tools for C++ developers: C++BuilderX and Enterprise Studio for C++. The company is calling the tools the first technology-independent development suite designed to address the complexity of modern-day application development. ""C++BuilderX is the result of over two years of a renewed research and development effort focused on delivering new advanced development capabilities for the entire C++ market,"" J.P. LeBlanc, vice president and general manager of the mobile and C++ solutions group at Borland, said in a statement.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/borland.jpg,images/borland-updates-c-tools-31584.jpg,https://www.technewsworld.com/story/borland-updates-c-tools-31584.html
breaking-the-speed-barrier-the-frontside-bus-bottleneck-31594,Breaking the Speed Barrier: The Frontside Bus Bottleneck,Brian R. Hook,"September 17, 2003 4:21 AM PT",Hardware,,"Processors continue to get faster and faster, but the frontside bus (FSB) remains one of the biggest bottlenecks on system performance. Most major manufacturers, including Intel, Motorola and AMD, are trying to develop methods to sidestep FSB limitations. What most computer users do not realize is that the speed of the frontside bus -- in addition to the speed of RAM -- determines computer speed more than the absolute clock speed of the CPU.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/intel-p413micronchip1.jpg,images/breaking-the-speed-barrier-the-frontside-bus-bottleneck-31594.jpg,https://www.technewsworld.com/story/breaking-the-speed-barrier-the-frontside-bus-bottleneck-31594.html
bring-on-the-telematics-revolution-31151,Bring on the Telematics Revolution,Gene J. Koprowski,"July 21, 2003 7:22 AM PT",Technology,TECHNOLOGY SPECIAL REPORT,"Overcoming its beginnings as a niche application for high-end automobiles, telematics technology has grown into a $650 million business that analysts at investment bank UBS Warburg expect to reach $41 billion by 2010. The first applications were for fleet vehicles -- used by trucking companies -- and for luxury car brands, like Mercedes and Cadillac. But developers today are adding a host of new features that are making all sorts of vehicles -- even mobile homes -- as networked as a high-tech office park.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/auto-gps-3.jpg,images/bring-on-the-telematics-revolution-31151.jpg,https://www.technewsworld.com/story/bring-on-the-telematics-revolution-31151.html
broadcom-to-offer-all-in-one-wifi-chip-31524,Broadcom To Offer All-in-One WiFi Chip,Jay Lyman,"September 8, 2003 2:45 PM PT",Technology,,"By decreasing space requirements and boosting power efficiency, Broadcom said its new, single-chip wireless solution marks a revolutionary breakthrough for the wireless industry and will make wireless LANs less expensive and easier to build. Touting as much as 87 percent space savings and extended battery life, Broadcom said the size and efficiency of its single 802.11 chip, called AirForce One, makes WiFi connectivity practical for a new class of handheld devices, such as PDAs, mobile phones, digital cameras, MP3 players and more.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/handspringvisoredge-2.jpg,images/broadcom-to-offer-all-in-one-wifi-chip-31524.jpg,https://www.technewsworld.com/story/broadcom-to-offer-all-in-one-wifi-chip-31524.html
buy-com-debuts-legit-music-downloads-strings-attached-31164,Buy.com Debuts Legit Music Downloads - Strings Attached,Jay Lyman,"July 22, 2003 9:17 AM PT",Technology,,"A new legal music download service for PCs has been unveiled, boasting the largest legitimate online catalog of songs to date, but BuyMusic.com still might be hampered because it lacks the freedom offered by free file-sharing networks, experts said. Aliso Viejo, California-based BuyMusic.com will sell tracks from its growing list of 300,000 songs starting at 79 cents each, with albums selling for $7.95, the company announced at the service's launch.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/music-05.jpg,images/buy-com-debuts-legit-music-downloads-strings-attached-31164.jpg,https://www.technewsworld.com/story/buy-com-debuts-legit-music-downloads-strings-attached-31164.html
california-jane-doe-challenges-riaa-subpoena-31402,California Jane Doe Challenges RIAA Subpoena,Jay Lyman,"August 22, 2003 9:41 AM PT",Security,,"Lawyers representing a California woman who was targeted by a Recording Industry Association of America subpoena have filed a motion in U.S. federal court challenging the subpoena as an unconstitutional invasion of privacy. The woman, whose motion was filed under the name Jane Doe, is an Internet subscriber of Verizon, which is one of two major Internet service providers that have filed suit in resistance of the RIAA subpoenas. Verizon is currently appealing a court ruling that upheld the legality of the RIAA subpoenas.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/verizon-jane-doe-riaa.jpg,images/california-jane-doe-challenges-riaa-subpoena-31402.jpg,https://www.technewsworld.com/story/california-jane-doe-challenges-riaa-subpoena-31402.html
california-law-to-ban-all-spam-31669,California Law To Ban All Spam,Jay Lyman,"September 24, 2003 1:56 PM PT",Security,,"Sending the unwanted e-mail solicitations known as spam to Californians likely will become a lot more expensive, thanks to a new law that will fine spammers and advertisers as much as $1 million per incident. Described as the toughest law in the country, California's rule has been signed into law by Gov. Gray Davis, who warned spammers and advertisers against using e-mail solicitations as a means of promoting their products and services.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/email-spam-4.jpg,images/california-law-to-ban-all-spam-31669.jpg,https://www.technewsworld.com/story/california-law-to-ban-all-spam-31669.html
can-multiple-ai-models-improve-enterprise-trust-180481,Multi-Model AI Could Improve Enterprise Trust,Jack M. Germain,"August 6, 2026 5:00 AM PT",Artificial Intelligence,,"As AI becomes more persuasive, enterprises are exploring whether comparing multiple AI models can improve trust in AI-generated decisions.",https://www.technewsworld.com/wp-content/uploads/sites/3/2023/04/business-meeting-1.jpg,images/can-multiple-ai-models-improve-enterprise-trust-180481.jpg,https://www.technewsworld.com/story/can-multiple-ai-models-improve-enterprise-trust-180481.html
challenges-remain-for-high-end-router-suppliers-31802,Challenges Remain for High-End Router Suppliers,Paul Korzeniowski,"October 9, 2003 3:52 AM PT",Hardware,TECHNOLOGY SPECIAL REPORT,"New growth in scorched earth might be the best metaphor to describe the state of the high-end router market at present. When the Internet was booming, a bevy of startup suppliers rushed to build the top-of-the-line network devices called core routers. It was thought that products operating at gigabit speeds soon would be needed everywhere. However, that need has proven slow to emerge, and carriers have lost interest in the complex, expensive products. As a result, high-end router sales plummeted by nearly 50 percent in 2002, forcing many hardware startups to reexamine their business plans.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/apple-xserve-rack-1.jpg,images/challenges-remain-for-high-end-router-suppliers-31802.jpg,https://www.technewsworld.com/story/challenges-remain-for-high-end-router-suppliers-31802.html
charter-sues-providers-criticize-riaa-31788,"Charter Sues, Providers Criticize RIAA",Jay Lyman,"October 7, 2003 1:59 PM PT",Technology,,"Charter Communications is the latest major ISP to take legal measures to prevent the Recording Industry Association of America from using subpoenas to reveal the identity of its Web users. In a suit filed in federal district court in St. Louis, Missouri, Charter is seeking to block the RIAA from obtaining the identities of its customers, including those targeted by earlier subpoenas from the RIAA. Charter said it had received subpoenas requesting the identities of approximately 150 of its high-speed access customers who are accused by the RIAA of illegally trading copyrighted music over the Internet.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/riaa.jpg,images/charter-sues-providers-criticize-riaa-31788.jpg,https://www.technewsworld.com/story/charter-sues-providers-criticize-riaa-31788.html
computer-simulations-modeling-the-future-31116,Computer Simulations: Modeling the Future,Gene J. Koprowski,"July 15, 2003 8:07 AM PT",Hardware,TECHNOLOGY SPECIAL REPORT,"Modeling and simulation have made momentous strides in recent years, and the military, medical science and other professions are on the verge of being able to use computing power to simulate reality for all kinds of applications. ""Advances in both AI software and in networked computing have made virtual environments of previously impossible realism possible,"" Robert Lucas, director of the computational science division at USC, told TechNewsWorld.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/binarycode-man-2.jpg,images/computer-simulations-modeling-the-future-31116.jpg,https://www.technewsworld.com/story/computer-simulations-modeling-the-future-31116.html
computer-viruses-and-organized-crime-the-inside-story-31679,Computer Viruses and Organized Crime: The Inside Story,Jack M. Germain,"September 27, 2003 2:13 AM PT",Security,,Internet security experts are divided on the source and purpose of computer viruses and worms like Blaster and SoBig. But some government agencies are investigating a possible connection between the increasing spread of infected computers and organized crime. Recent trends are leading many experts to worry that malicious code buried in infected computers or released in new generations of worms will spawn targeted criminal attacks against business and industry.,https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/mobster-1.jpg,images/computer-viruses-and-organized-crime-the-inside-story-31679.jpg,https://www.technewsworld.com/story/computer-viruses-and-organized-crime-the-inside-story-31679.html
could-nvidias-success-become-its-biggest-weakness-180470,Nvidia's Long-Term Strategy Could Open the Door for AMD,Rob Enderle,"August 3, 2026 5:00 AM PT",Artificial Intelligence,OPINION,"Tech analyst Rob Enderle examines Nvidia's market strategy, AMD's open-source approach, and the long-term outlook for AI hardware competition.",https://www.technewsworld.com/wp-content/uploads/sites/3/2024/11/Nvidia-Santa-Clara.jpg,images/could-nvidias-success-become-its-biggest-weakness-180470.jpg,https://www.technewsworld.com/story/could-nvidias-success-become-its-biggest-weakness-180470.html
cto-confidence-in-scaling-ai-falls-for-third-straight-year-180411,CTOs Face Growing Challenges Scaling AI Across the Enterprise,John P. Mello Jr.,"June 24, 2026 5:00 AM PT",Artificial Intelligence,,"Enterprises are struggling to scale AI as governance, skills, workforce trust, and data challenges hinder efforts to move beyond pilot projects.",https://www.technewsworld.com/wp-content/uploads/sites/3/2022/07/information-security-team.jpg,images/cto-confidence-in-scaling-ai-falls-for-third-straight-year-180411.jpg,https://www.technewsworld.com/story/cto-confidence-in-scaling-ai-falls-for-third-straight-year-180411.html
db2-holes-offer-root-access-31615,DB2 Holes Offer Root Access,Jay Lyman,"September 18, 2003 9:33 AM PT",Security,,"IBM's widely used DB2 database software, which often stores critical data such as credit card information, has flaws that would be ""trivial"" for attackers to exploit. The holes, uncovered by Core Security, a network security firm, involve simple stack-based buffer overflows and are triggered by sending a long command-line argument to two vulnerable binary files -- db2licm and db2dart -- the default software in DB2 intended for license management and error checking.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/db2-ibm.jpg,images/db2-holes-offer-root-access-31615.jpg,https://www.technewsworld.com/story/db2-holes-offer-root-access-31615.html
dell-debuts-portable-music-player-31959,Dell Debuts Portable Music Player,Kirk L. Kroeker,"October 27, 2003 11:44 AM PT",Technology,,"Dell has introduced the Dell Digital Jukebox -- or the Dell DJ -- and announced details of a partnership with MusicMatch to provide customers with an easy, legal way to download favorite songs and albums. As the next step in the company's overall strategy of moving into other markets -- especially consumer electronics and home entertainment -- both the Dell DJ hardware and Dell Jukebox software will be available through Dell's music store.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/dell-digital-jukebox-dj.jpg,images/dell-debuts-portable-music-player-31959.jpg,https://www.technewsworld.com/story/dell-debuts-portable-music-player-31959.html
denial-of-service-attack-brings-down-microsoft-31258,Denial-of-Service Attack Brings Down Microsoft,Jay Lyman,"August 4, 2003 1:04 PM PT",Security,,"A denial-of-service attack that took down Microsoft's Web site two days after the U.S. Department of Homeland Security warned of a widespread Windows vulnerability is being investigated by the Redmond, Washington-based software company and law enforcement officials. Microsoft has some clues as to the origin of the outage, which lasted for about 1 hour and 40 minutes Friday afternoon, Microsoft spokesperson Sean Sundwall told TechNewsWorld. ""It's pretty hard to track down where it came from,"" he said.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/microsoft-denial-service-1.jpg,images/denial-of-service-attack-brings-down-microsoft-31258.jpg,https://www.technewsworld.com/story/denial-of-service-attack-brings-down-microsoft-31258.html
denial-of-service-exposed-31467,Denial of Service - Exposed,Jack M. Germain,"September 2, 2003 4:11 AM PT",Security,,"Analysts credit advance warning about the Blaster worm, in addition to Microsoft's clever rewriting of standard Internet-connection protocols, as the weapons used in defeating a denial-of-service attack against the software company's Windows help Web site on August 16th. The Blaster worm, which infected more than one million computers worldwide in August, created a legion of willing computers with orders to launch an attack aimed at shutting down Microsoft's site.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/slow-3.jpg,images/denial-of-service-exposed-31467.jpg,https://www.technewsworld.com/story/denial-of-service-exposed-31467.html
elon-musk-says-money-wont-matter-by-2036-is-he-right-180484,Elon Musk’s Moneyless Future Faces a Reality Check,Rob Enderle,"August 10, 2026 5:00 AM PT",Artificial Intelligence,ANALYST COMMENTARY,Elon Musk says money may become obsolete by 2036. Rob Enderle examines whether AI and robotics could make that prediction a reality.,https://www.technewsworld.com/wp-content/uploads/sites/3/2026/08/elon-musk-cashless-future.jpg,images/elon-musk-says-money-wont-matter-by-2036-is-he-right-180484.jpg,https://www.technewsworld.com/story/elon-musk-says-money-wont-matter-by-2036-is-he-right-180484.html
european-union-pursues-microsoft-on-abuses-31278,European Union Pursues Microsoft on Abuses,Jay Lyman,"August 6, 2003 9:26 AM PT",Applications,,"Referring to new evidence in its investigation of Microsoft's anticompetitive practices, the European Union's commission has offered the software company one last opportunity to respond before pursuing remedies. The European Commission, which has conducted an antitrust probe of Microsoft for about five years, said the new evidence indicates the software company is stifling competition by denying interoperability in the low-end server market and by tying Windows Media Player to the Windows operating system.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/eu-microsoft-1.jpg,images/european-union-pursues-microsoft-on-abuses-31278.jpg,https://www.technewsworld.com/story/european-union-pursues-microsoft-on-abuses-31278.html
expresscard-standard-to-replace-larger-pc-cards-31595,ExpressCard Standard To Replace Larger PC Cards,John P. Mello Jr.,"September 16, 2003 2:48 PM PT",Hardware,,"A significant step to broaden the use of PC Cards in desktop computers was taken today by the PCMCIA industry standards group. The PCMCIA group -- a nonprofit trade association founded in 1989 to establish technical standards for PC Card technology and to promote interchangeability among computer systems -- announced the first version of its standard for ExpressCard, a technology that's expected to replace PC Card slots found most commonly in notebook computers.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/expresscard-pcmcia.jpg,images/expresscard-standard-to-replace-larger-pc-cards-31595.jpg,https://www.technewsworld.com/story/expresscard-standard-to-replace-larger-pc-cards-31595.html
fbi-epa-warn-of-cyberattacks-on-water-wastewater-facilities-180477,"FBI, EPA Warn of Cyberattacks Targeting Water Infrastructure",John P. Mello Jr.,"August 4, 2026 5:00 AM PT",Cybersecurity,,The FBI and EPA warn that cyberattacks targeting internet-connected PLCs are increasing risks to water and wastewater systems.,https://www.technewsworld.com/wp-content/uploads/sites/3/2026/08/water-treatment-plc-control-cabinet.jpg,images/fbi-epa-warn-of-cyberattacks-on-water-wastewater-facilities-180477.jpg,https://www.technewsworld.com/story/fbi-epa-warn-of-cyberattacks-on-water-wastewater-facilities-180477.html
feds-nab-blaster-suspect-continue-tracking-sobig-f-writer-31462,"Feds Nab Blaster Suspect, Continue Tracking SoBig.F Writer",Jay Lyman,"August 29, 2003 8:52 AM PT",Security,,"Federal officials reportedly have closed in on an 18-year-old man believed to be the author of a variant of the Blaster worm, which affected nearly half a million computers earlier this month. An announcement of the suspect's arrest was expected in Seattle, Washington, near the headquarters of Microsoft, whose Windows operating system was the target of Blaster, its variants, and subsequent worms Nachi and SoBig.F. Security experts were closely watching SoBig.F, which was set again to download unknown code from 20 Internet addresses commandeered by the virus writer.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/SoBigF-infects-china.jpg,images/feds-nab-blaster-suspect-continue-tracking-sobig-f-writer-31462.jpg,https://www.technewsworld.com/story/feds-nab-blaster-suspect-continue-tracking-sobig-f-writer-31462.html
forrester-report-says-downloads-will-replace-discs-31490,Forrester Report Says Downloads Will Replace Discs,Jay Lyman,"September 3, 2003 2:10 PM PT",Technology,,"Online and on-demand media services in digital form are likely to make CDs and DVDs obsolete as consumers switch to downloads and streaming media to get their music, movies and other entertainment, according to Forrester Research. Providing evidence that downloads cost the music industry $700 million in lost CD sales last year, Forrester said in its report -- titled ""From Discs to Downloads"" -- that legitimate Internet subscriptions and downloads will account for one-third of all music sales by 2008.",https://www.technewsworld.com/wp-content/uploads/sites/3/2021/05/disc-to-downloads-1.jpg,images/forrester-report-says-downloads-will-replace-discs-31490.jpg,https://www.technewsworld.com/story/forrester-report-says-downloads-will-replace-discs-31490.html
